ClientSK;Score_Churn;Classe_Risque
40001;22.1;Faible
40003;0.0;Faible
40004;0.0;Faible
40007;0.0;Faible
40009;2.4;Faible
40010;0.0;Faible
40011;0.0;Faible
40013;30.1;Modere
40014;0.0;Faible
40015;0.0;Faible
40016;0.0;Faible
40018;0.0;Faible
40019;33.0;Modere
40020;0.0;Faible
40021;0.0;Faible
40022;0.0;Faible
40023;0.0;Faible
40024;0.0;Faible
40025;0.0;Faible
40026;0.0;Faible
40027;0.0;Faible
40028;0.0;Faible
40030;17.7;Faible
40031;36.6;Modere
40033;0.0;Faible
40034;0.0;Faible
40035;0.0;Faible
40036;0.0;Faible
40037;0.0;Faible
40038;0.0;Faible
40039;0.0;Faible
40041;0.0;Faible
40043;0.0;Faible
40044;0.0;Faible
40046;0.0;Faible
40048;0.0;Faible
40049;0.0;Faible
40050;0.0;Faible
40052;0.0;Faible
40053;0.0;Faible
40055;0.0;Faible
40056;0.0;Faible
40058;0.0;Faible
40059;0.0;Faible
40060;0.0;Faible
40062;0.0;Faible
40063;43.2;Modere
40064;0.0;Faible
40065;0.0;Faible
40068;0.0;Faible
40070;0.0;Faible
40071;0.0;Faible
40072;0.0;Faible
40073;0.0;Faible
40074;0.0;Faible
40076;0.0;Faible
40077;0.0;Faible
40078;0.0;Faible
40079;0.0;Faible
40080;0.0;Faible
40081;0.0;Faible
40083;0.0;Faible
40084;0.0;Faible
40085;0.0;Faible
40087;0.0;Faible
40090;0.0;Faible
40091;0.0;Faible
40092;5.1;Faible
40093;0.0;Faible
40094;0.0;Faible
40095;0.0;Faible
40096;0.0;Faible
40098;46.6;Modere
40099;0.0;Faible
40100;15.5;Faible
40104;0.0;Faible
40105;56.2;Eleve
40106;0.0;Faible
40107;0.0;Faible
40109;0.0;Faible
40110;0.0;Faible
40111;0.0;Faible
40113;0.0;Faible
40114;42.3;Modere
40116;0.0;Faible
40117;0.0;Faible
40118;0.0;Faible
40119;0.0;Faible
40121;47.8;Modere
40122;32.4;Modere
40123;0.0;Faible
40124;30.9;Modere
40126;47.3;Modere
40127;0.0;Faible
40128;3.7;Faible
40129;0.0;Faible
40130;0.0;Faible
40131;0.0;Faible
40132;0.0;Faible
40133;0.0;Faible
40134;51.6;Eleve
40135;0.0;Faible
40136;0.0;Faible
40137;0.0;Faible
40138;0.0;Faible
40139;0.0;Faible
40140;54.8;Eleve
40141;0.0;Faible
40142;6.3;Faible
40144;0.0;Faible
40145;0.0;Faible
40146;0.0;Faible
40147;0.0;Faible
40148;0.0;Faible
40149;0.0;Faible
