ClientSK;Solde_Compte;Nb_Produits;Nb_Credits_Actifs;Nb_Transactions_Mois;Montant_Transaction_Moyen;Nb_Retraits_GAB_Mois;Nb_Paiements_CB_Mois;Taux_Utilisation_Decouvert;Nb_Connexions_App_Mois;Nb_Virements_En_Ligne_Mois;Score_Satisfaction;Nb_Reclamations_12mois;Solde_Moyen_3mois;Nb_Produits_Resilies_12mois;SegmentID;PackID;Age;Score_Credit;Anciennete_Annees;GouvernoratID;A_Quitte
40001;85844.45;4;0;34;1875.18;7;16;74.0;23;10;4;1;87705.35;1;2;3;57;803;7;15;0
40002;17729.10;3;0;27;1911.27;10;13;21.9;32;9;3;1;20359.49;2;2;7;65;811;8;1;1
40003;78835.02;6;1;47;371.26;8;27;33.9;10;0;5;0;83355.33;0;3;4;36;434;7;14;0
40004;15206.32;2;0;8;775.11;10;6;5.0;34;5;4;0;16315.38;0;4;1;48;635;6;5;0
40005;64945.83;4;1;37;2777.79;14;20;34.3;3;0;3;0;61206.97;2;3;3;48;746;2;11;1
40006;1188.54;1;2;22;463.87;8;10;23.4;22;6;4;0;1029.39;2;4;5;38;329;4;4;1
40007;10567.11;2;0;0;70.38;17;0;72.6;13;4;5;0;10640.78;0;4;5;69;689;4;6;0
40008;41913.38;4;0;26;467.89;9;20;45.3;0;0;3;0;35638.81;2;2;7;54;504;5;6;1
40009;405411.79;5;2;38;2131.96;3;25;87.9;27;5;4;0;401614.73;1;1;7;70;324;7;15;0
40010;22726.77;1;1;1;440.50;6;2;34.7;21;7;4;0;23782.07;0;4;1;67;409;8;14;0
40011;21887.59;2;0;18;434.76;7;20;34.6;3;1;5;0;20519.75;0;4;6;51;616;6;4;0
40012;12039.35;1;0;19;286.66;9;0;46.7;33;2;3;0;10489.85;3;4;1;63;525;4;6;1
40013;181897.10;3;0;48;608.54;8;31;19.4;25;11;5;0;181504.31;1;3;4;39;685;4;24;0
40014;219503.06;3;0;23;2617.99;10;18;22.2;5;0;3;1;213528.65;0;3;7;54;577;3;2;0
40015;508031.97;5;2;42;509.25;9;36;52.9;30;8;3;0;570790.77;0;1;3;20;768;6;1;0
40016;22139.98;2;0;5;767.38;0;8;0.0;5;2;4;0;24372.82;0;4;6;56;335;6;6;0
40017;17509.94;3;0;2;423.15;14;0;0.0;29;9;3;0;19934.34;2;4;2;35;346;8;7;1
40018;4330.92;1;0;31;780.45;14;19;94.0;36;8;3;1;3757.10;0;4;5;60;665;8;6;0
40019;22998.32;4;0;0;552.03;8;10;26.5;42;6;4;0;24269.34;1;4;6;68;667;6;13;0
40020;247335.89;6;0;28;536.83;9;20;56.2;14;19;5;0;211864.75;0;3;7;37;455;8;15;0
40021;155075.27;4;1;43;2378.03;5;27;30.7;39;8;5;0;144468.49;0;3;4;53;569;8;3;0
40022;11026.96;1;0;25;192.38;6;20;20.3;22;12;4;0;10610.41;0;4;2;35;628;4;3;0
40023;45898.97;5;1;47;1980.34;5;23;45.9;32;9;4;0;40535.23;0;3;3;70;555;5;9;0
40024;79618.37;6;1;26;180.40;6;8;61.5;3;0;2;3;71765.31;0;2;5;40;587;5;14;0
40025;972.22;1;0;16;222.11;6;12;27.3;23;10;4;0;963.11;0;4;6;19;800;7;22;0
40026;50696.30;5;3;26;874.30;9;11;10.2;10;9;5;0;51676.44;0;2;3;44;525;7;21;0
40027;23242.64;2;3;2;301.31;5;3;51.1;35;4;4;0;21195.20;0;4;5;33;831;6;19;0
40028;209647.15;5;0;39;465.99;5;17;45.8;32;11;4;0;179341.70;0;3;3;19;808;7;1;0
40029;89487.36;3;1;20;790.81;15;9;47.4;32;16;5;0;82601.77;1;2;7;39;688;2;15;1
40030;4039.00;2;1;21;69.47;0;3;55.8;7;0;4;0;4516.53;1;4;2;74;602;8;13;0
40031;6841.99;2;0;15;108.04;8;12;20.8;11;7;3;0;7085.64;1;4;1;58;799;7;1;0
